karte,tag_id,entfernung_m,dx_mm,dy_mm,dz_mm,d_xy_mm,d_xyz_mm,droll_deg,dpitch_deg,dyaw_deg,dangle_deg
Kartierung Versuch 3,0,0.0000,-0.0000,-0.0000,0.0003,0.0000,0.0003,-0.0000,-0.0000,0.0000,0.0000
Kartierung Versuch 3,1,0.2400,-1.9522,-0.8110,-0.0000,2.1139,2.1139,0.0000,-0.0000,-0.0511,0.0511
Kartierung Versuch 3,2,0.3394,-1.5901,1.3848,0.0001,2.1086,2.1086,0.0000,0.0000,-0.0963,0.0963
Kartierung Versuch 3,3,0.3394,-2.4567,-3.0973,0.0001,3.9533,3.9533,-0.0000,-0.0000,-0.0574,0.0574
Kartierung Versuch 3,4,0.4800,-4.2050,-2.2237,-0.0001,4.7568,4.7568,-0.0000,-0.0000,-0.0899,0.0899
Kartierung Versuch 3,5,0.5367,-3.7197,0.0546,-0.0001,3.7201,3.7201,0.0000,-0.0000,0.0319,0.0319
Kartierung Versuch 3,6,0.2400,0.6407,1.9907,0.0001,2.0912,2.0912,0.0000,-0.0000,-0.0119,0.0119
Kartierung Versuch 3,7,0.5367,-4.7477,-4.5653,-0.0000,6.5865,6.5865,0.0000,-0.0000,-0.0214,0.0214
Kartierung Versuch 3,8,0.2400,-0.5937,-2.1886,0.0004,2.2677,2.2677,-0.0000,-0.0000,-0.0594,0.0594
Kartierung Versuch 3,9,0.7200,-6.3072,-3.1085,-0.0002,7.0316,7.0316,0.0000,-0.0000,-0.0329,0.0329
Kartierung Versuch 3,10,0.2400,2.1135,0.3653,0.0001,2.1448,2.1448,-0.0000,0.0000,-0.0581,0.0581
Kartierung Versuch 3,11,0.5367,-0.2619,2.7225,0.0004,2.7350,2.7350,0.0000,0.0000,-0.2241,0.2241
Kartierung Versuch 3,12,0.5367,-2.7513,-5.3548,0.0002,6.0203,6.0203,0.0000,-0.0000,-0.0273,0.0273
Kartierung Versuch 3,13,0.7589,-5.5247,-0.7723,-0.0001,5.5785,5.5785,0.0000,-0.0000,-0.0607,0.0607
Kartierung Versuch 3,14,0.3394,2.5349,2.1632,-0.0001,3.3324,3.3324,-0.0000,0.0000,-0.0312,0.0312
Kartierung Versuch 3,15,0.7589,-6.9766,-5.6115,-0.0002,8.9533,8.9533,0.0000,-0.0000,0.0662,0.0662
Kartierung Versuch 3,16,0.3394,1.5523,-1.5991,0.0003,2.2286,2.2286,-0.0000,0.0000,-0.0663,0.0663
Kartierung Versuch 3,17,0.6788,-2.1318,1.9021,0.0001,2.8571,2.8571,0.0000,0.0000,-0.1638,0.1638
Kartierung Versuch 3,18,0.4800,1.7849,3.2870,0.0004,3.7403,3.7403,0.0000,0.0000,-0.0130,0.0130
Kartierung Versuch 3,19,0.6788,-5.0612,-6.7377,-0.0000,8.4269,8.4269,0.0000,-0.0000,-0.0434,0.0434
Kartierung Versuch 3,20,0.4800,-0.9833,-4.7458,0.0005,4.8466,4.8466,0.0000,-0.0000,-0.0144,0.0144
Kartierung Versuch 3,21,0.8653,-3.5052,1.2456,-0.0001,3.7199,3.7199,0.0000,-0.0000,-0.1819,0.1819
Kartierung Versuch 3,22,0.5367,3.1996,3.5803,0.0002,4.8017,4.8017,-0.0000,0.0000,-0.0305,0.0305
Kartierung Versuch 3,23,0.8653,-6.9031,-7.5416,-0.0001,10.2239,10.2239,0.0000,-0.0000,0.0229,0.0229
Kartierung Versuch 3,24,0.5367,1.0181,-3.9651,0.0005,4.0937,4.0937,-0.0000,0.0000,-0.0058,0.0058
Kartierung Versuch 3,25,0.9600,-8.0344,-3.4243,-0.0000,8.7337,8.7337,-0.0000,0.0000,-0.0007,0.0007
Kartierung Versuch 3,26,0.4800,3.3620,0.6240,-0.0003,3.4194,3.4194,-0.0000,0.0000,0.0394,0.0394
Kartierung Versuch 3,27,0.9895,-7.6153,-1.2582,0.0001,7.7186,7.7186,-0.0000,0.0000,-0.0554,0.0554
Kartierung Versuch 3,28,0.9895,-8.8014,-6.3316,-0.0001,10.8422,10.8422,0.0000,0.0000,0.0129,0.0129
Kartierung Versuch 3,29,0.5367,4.0689,2.4290,-0.0003,4.7387,4.7387,0.0000,0.0000,0.0107,0.0107
Kartierung Versuch 3,30,0.5367,2.9798,-1.1098,-0.0001,3.1798,3.1798,-0.0000,0.0000,0.0245,0.0245
Kartierung Versuch 3,31,1.0733,-5.5465,0.6789,0.0000,5.5879,5.5879,-0.0000,0.0000,-0.2669,0.2669
Kartierung Versuch 3,32,1.0733,-8.4564,-8.6636,-0.0003,12.1065,12.1065,-0.0000,0.0000,-0.0228,0.0228
Kartierung Versuch 3,33,0.6788,4.2333,3.9469,-0.0001,5.7878,5.7878,-0.0000,0.0000,-0.0380,0.0380
Kartierung Versuch 3,34,0.6788,2.2875,-2.9309,0.0002,3.7179,3.7179,-0.0000,0.0000,-0.0324,0.0324
Kartierung Versuch 3,35,1.2238,4.8032,10.7948,0.0002,11.8152,11.8152,-0.0000,0.0000,-0.1577,0.1577
Kartierung Versuch 3,36,1.4400,-11.1664,-5.0864,-0.0000,12.2702,12.2702,0.0000,0.0000,-0.0363,0.0363
Kartierung Versuch 3,37,1.2238,-7.5557,-6.0185,-0.0001,9.6597,9.6597,0.0000,-0.0000,0.0234,0.0234
Kartierung Versuch 3,38,0.9600,5.6960,1.0351,-0.0006,5.7893,5.7893,0.0000,-0.0000,-0.0891,0.0891
Kartierung Versuch 3,39,1.4648,-0.7324,8.5311,-0.0003,8.5625,8.5625,-0.0000,0.0000,0.0387,0.0387
Kartierung Versuch 3,40,1.2528,7.5126,10.7227,-0.0002,13.0926,13.0926,-0.0000,-0.0000,-0.1269,0.1269
Kartierung Versuch 3,41,1.4648,-10.9266,-8.7959,-0.0002,14.0271,14.0271,0.0000,-0.0000,0.0229,0.0229
Kartierung Versuch 3,42,1.2528,-3.1005,-4.1379,0.0002,5.1706,5.1706,0.0000,-0.0000,-0.1156,0.1156
