karte,tag_a,tag_b,basislaenge_klasse,d_ref_m,d_karte_m,fehler_mm,rel_fehler_ppm
Kartierung Versuch 3,0,1,0-1 m,0.240000,0.241954,1.9535,8139.70
Kartierung Versuch 3,0,2,0-1 m,0.339411,0.341515,2.1036,6197.92
Kartierung Versuch 3,0,3,0-1 m,0.339411,0.343339,3.9276,11571.73
Kartierung Versuch 3,0,4,0-1 m,0.480000,0.484210,4.2101,8771.10
Kartierung Versuch 3,0,5,0-1 m,0.536656,0.540010,3.3539,6249.54
Kartierung Versuch 3,0,6,0-1 m,0.240000,0.241992,1.9915,8297.99
Kartierung Versuch 3,0,7,0-1 m,0.536656,0.542948,6.2917,11723.83
Kartierung Versuch 3,0,8,0-1 m,0.240000,0.242189,2.1893,9122.12
Kartierung Versuch 3,0,9,0-1 m,0.720000,0.726314,6.3138,8769.22
Kartierung Versuch 3,0,10,0-1 m,0.240000,0.242114,2.1138,8807.40
Kartierung Versuch 3,0,11,0-1 m,0.536656,0.539209,2.5531,4757.35
Kartierung Versuch 3,0,12,0-1 m,0.536656,0.542676,6.0199,11217.43
Kartierung Versuch 3,0,13,0-1 m,0.758947,0.763948,5.0010,6589.42
Kartierung Versuch 3,0,14,0-1 m,0.339411,0.342733,3.3222,9787.98
Kartierung Versuch 3,0,15,0-1 m,0.758947,0.767346,8.3994,11067.19
Kartierung Versuch 3,0,16,0-1 m,0.339411,0.341640,2.2284,6565.36
Kartierung Versuch 3,0,17,0-1 m,0.678823,0.681675,2.8525,4202.10
Kartierung Versuch 3,0,18,0-1 m,0.480000,0.483290,3.2903,6854.78
Kartierung Versuch 3,0,19,0-1 m,0.678823,0.687167,8.3441,12292.01
Kartierung Versuch 3,0,20,0-1 m,0.480000,0.484747,4.7468,9889.16
Kartierung Versuch 3,0,21,0-1 m,0.865332,0.868940,3.6079,4169.36
Kartierung Versuch 3,0,22,0-1 m,0.536656,0.541291,4.6347,8636.34
Kartierung Versuch 3,0,23,0-1 m,0.865332,0.875263,9.9305,11475.92
Kartierung Versuch 3,0,24,0-1 m,0.536656,0.540659,4.0025,7458.15
Kartierung Versuch 3,0,25,0-1 m,0.960000,0.968040,8.0405,8375.52
Kartierung Versuch 3,0,26,0-1 m,0.480000,0.483362,3.3624,7005.07
Kartierung Versuch 3,0,27,0-1 m,0.989545,0.996633,7.0875,7162.38
Kartierung Versuch 3,0,28,0-1 m,0.989545,0.999628,10.0822,10188.77
Kartierung Versuch 3,0,29,0-1 m,0.536656,0.541382,4.7257,8805.76
Kartierung Versuch 3,0,30,0-1 m,0.536656,0.539818,3.1617,5891.39
Kartierung Versuch 3,0,31,1-2 m,1.073313,1.078579,5.2661,4906.44
Kartierung Versuch 3,0,32,1-2 m,1.073313,1.084758,11.4453,10663.57
Kartierung Versuch 3,0,33,0-1 m,0.678823,0.684607,5.7843,8521.06
Kartierung Versuch 3,0,34,0-1 m,0.678823,0.682513,3.6901,5436.08
Kartierung Versuch 3,0,35,1-2 m,1.223765,1.233427,9.6621,7895.39
Kartierung Versuch 3,0,36,1-2 m,1.440000,1.451175,11.1753,7760.60
Kartierung Versuch 3,0,37,1-2 m,1.223765,1.231164,7.3991,6046.20
Kartierung Versuch 3,0,38,0-1 m,0.960000,0.965697,5.6966,5933.92
Kartierung Versuch 3,0,39,1-2 m,1.464787,1.472202,7.4152,5062.34
Kartierung Versuch 3,0,40,1-2 m,1.252837,1.265273,12.4359,9926.21
Kartierung Versuch 3,0,41,1-2 m,1.464787,1.478264,13.4770,9200.68
Kartierung Versuch 3,0,42,1-2 m,1.252837,1.255916,3.0794,2457.93
Kartierung Versuch 3,0,43,1-2 m,1.560000,1.568888,8.8885,5697.75
Kartierung Versuch 3,0,44,1-2 m,1.815930,1.831273,15.3435,8449.41
Kartierung Versuch 3,0,45,2-3 m,2.040000,2.055442,15.4423,7569.76
Kartierung Versuch 3,0,46,1-2 m,1.815930,1.826811,10.8814,5992.20
Kartierung Versuch 3,0,47,1-2 m,1.986353,1.998936,12.5821,6334.27
Kartierung Versuch 3,0,48,1-2 m,1.835647,1.851774,16.1272,8785.57
Kartierung Versuch 3,0,49,1-2 m,1.986353,2.000919,14.5656,7332.86
Kartierung Versuch 3,0,50,1-2 m,1.835647,1.845770,10.1228,5514.56
Kartierung Versuch 3,0,51,2-3 m,2.640000,2.659841,19.8411,7515.55
Kartierung Versuch 3,0,52,2-3 m,2.160000,2.171400,11.3996,5277.58
Kartierung Versuch 3,0,53,2-3 m,2.305125,2.321512,16.3870,7108.92
Kartierung Versuch 3,0,54,2-3 m,2.040000,2.052151,12.1515,5956.59
Kartierung Versuch 3,0,55,1-2 m,1.874460,1.890723,16.2632,8676.22
Kartierung Versuch 3,0,56,1-2 m,1.536750,1.540650,3.9004,2538.11
Kartierung Versuch 3,0,57,1-2 m,1.874460,1.883823,9.3635,4995.32
Kartierung Versuch 3,0,58,1-2 m,1.536750,1.551074,14.3238,9320.83
Kartierung Versuch 3,0,59,2-3 m,2.305125,2.318678,13.5532,5879.61
Kartierung Versuch 3,0,60,2-3 m,2.040000,2.056871,16.8708,8270.02
Kartierung Versuch 3,0,61,1-2 m,1.517893,1.526475,8.5814,5653.49
Kartierung Versuch 3,0,62,1-2 m,1.517893,1.532614,14.7203,9697.82
Kartierung Versuch 3,0,63,2-3 m,2.095710,2.108696,12.9860,6196.45
Kartierung Versuch 3,0,64,2-3 m,2.095710,2.112828,17.1177,8167.99
Kartierung Versuch 3,0,65,1-2 m,1.073313,1.081089,7.7764,7245.21
Kartierung Versuch 3,0,66,1-2 m,1.073313,1.078487,5.1747,4821.22
Kartierung Versuch 3,0,67,1-2 m,1.632176,1.641964,9.7879,5996.83
Kartierung Versuch 3,0,68,1-2 m,1.632176,1.642180,10.0039,6129.16
Kartierung Versuch 3,0,100,1-2 m,1.884038,1.900634,16.5954,8808.41
Kartierung Versuch 3,0,101,1-2 m,1.594240,1.608050,13.8102,8662.54
Kartierung Versuch 3,0,102,1-2 m,1.501200,1.509019,7.8198,5209.04
Kartierung Versuch 3,0,103,1-2 m,1.638780,1.643845,5.0647,3090.51
Kartierung Versuch 3,0,104,1-2 m,1.452446,1.467245,14.7985,10188.69
Kartierung Versuch 3,0,105,1-2 m,1.076151,1.086678,10.5272,9782.28
Kartierung Versuch 3,0,106,0-1 m,0.906697,0.909307,2.6097,2878.28
Kartierung Versuch 3,0,107,1-2 m,1.116065,1.116455,0.3904,349.78
Kartierung Versuch 3,0,108,2-3 m,2.359152,2.377807,18.6550,7907.52
Kartierung Versuch 3,0,109,1-2 m,1.765673,1.780683,15.0103,8501.16
Kartierung Versuch 3,0,110,1-2 m,1.295222,1.302170,6.9480,5364.33
Kartierung Versuch 3,0,111,1-2 m,1.884038,1.893398,9.3603,4968.19
Kartierung Versuch 3,0,112,2-3 m,2.359152,2.375131,15.9784,6772.94
Kartierung Versuch 3,0,113,1-2 m,1.765673,1.777228,11.5549,6544.17
Kartierung Versuch 3,0,114,1-2 m,1.295222,1.303458,8.2360,6358.79
Kartierung Versuch 3,0,115,1-2 m,1.884038,1.894821,10.7828,5723.24
Kartierung Versuch 3,0,116,1-2 m,1.452446,1.459041,6.5951,4540.72
Kartierung Versuch 3,0,117,1-2 m,1.076151,1.080914,4.7637,4426.57
Kartierung Versuch 3,0,118,0-1 m,0.906697,0.915250,8.5526,9432.66
Kartierung Versuch 3,0,119,1-2 m,1.116065,1.127254,11.1898,10026.16
Kartierung Versuch 3,0,120,1-2 m,1.884038,1.894896,10.8578,5763.05
Kartierung Versuch 3,0,121,1-2 m,1.594240,1.605210,10.9699,6880.98
Kartierung Versuch 3,0,122,1-2 m,1.501200,1.514737,13.5379,9018.03
Kartierung Versuch 3,0,123,1-2 m,1.638780,1.654321,15.5406,9483.04
Kartierung Versuch 3,0,200,2-3 m,2.465568,2.486660,21.0924,8554.77
Kartierung Versuch 3,0,202,2-3 m,2.465568,2.479306,13.7382,5572.04
Kartierung Versuch 3,0,203,2-3 m,2.073216,2.086835,13.6193,6569.15
Kartierung Versuch 3,1,2,0-1 m,0.240000,0.242196,2.1961,9150.42
Kartierung Versuch 3,1,3,0-1 m,0.240000,0.242287,2.2868,9528.52
Kartierung Versuch 3,1,4,0-1 m,0.240000,0.242257,2.2570,9404.04
Kartierung Versuch 3,1,5,0-1 m,0.339411,0.341274,1.8625,5487.49
Kartierung Versuch 3,1,6,0-1 m,0.339411,0.343226,3.8145,11238.70
Kartierung Versuch 3,1,7,0-1 m,0.339411,0.344043,4.6321,13647.43
Kartierung Versuch 3,1,8,0-1 m,0.339411,0.341346,1.9347,5700.06
Kartierung Versuch 3,1,9,0-1 m,0.480000,0.484360,4.3605,9084.31
Kartierung Versuch 3,1,10,0-1 m,0.480000,0.484067,4.0671,8473.12
Kartierung Versuch 3,1,11,0-1 m,0.480000,0.483536,3.5364,7367.51
Kartierung Versuch 3,1,12,0-1 m,0.480000,0.484544,4.5445,9467.62
Kartierung Versuch 3,1,13,0-1 m,0.536656,0.539871,3.2150,5990.72
Kartierung Versuch 3,1,14,0-1 m,0.536656,0.542000,5.3439,9957.68
Kartierung Versuch 3,1,15,0-1 m,0.536656,0.543301,6.6447,12381.61
Kartierung Versuch 3,1,16,0-1 m,0.536656,0.540144,3.4876,6498.78
Kartierung Versuch 3,1,17,0-1 m,0.536656,0.539164,2.5081,4673.56
Kartierung Versuch 3,1,18,0-1 m,0.536656,0.541995,5.3387,9948.12
Kartierung Versuch 3,1,19,0-1 m,0.536656,0.543348,6.6914,12468.66
